4.5e2 -5.0e1 -4.02748e2 -4.02748e2
5.0e2 -5.0e1 -4.50554e2 -4.50554e2

-5.0e2 0.0e0 3.0e1 3.0e1
-4.5e2 0.0e0 3.0e1 3.0e1
-4.0e2 0.0e0 3.0e1 3.0e1
-3.5e2 0.0e0 3.0e1 3.0e1
-3.0e2 0.0e0 3.0e1 3.0e1
-2.5e2 0.0e0 3.0e1 3.0e1
-2.0e2 0.0e0 3.0e1 3.0e1
-1.5e2 0.0e0 3.0e1 3.0e1
-1.0e2 0.0e0 3.0e1 3.0e1
-5.0e1 0.0e0 3.0e1 3.0e1
0.0e0 0.0e0 3.0e1 3.0e1
5.0e1 0.0e0 3.0e1 3.0e1
1.0e2 0.0e0 3.0e1 3.0e1
1.5e2 0.0e0 3.0e1 3.0e1
2.0e2 0.0e0 3.0e1 3.0e1
2.5e2 0.0e0 3.0e1 3.0e1
3.0e2 0.0e0 3.0e1 3.0e1
3.5e2 0.0e0 3.0e1 3.0e1
4.0e2 0.0e0 3.0e1 3.0e1
4.5e2 0.0e0 3.0e1 3.0e1
5.0e2 0.0e0 3.0e1 3.0e1

-5.0e2 5.0e1 -4.45554e2 -4.45554e2
-4.5e2 5.0e1 -3.9775e2 -3.9775e2
-4.0e2 5.0e1 -3.49944e2 -3.49944e2
-3.5e2 5.0e1 -3.02138e2 -3.02138e2
-3.0e2 5.0e1 -2.54332e2 -2.54332e2
-2.5e2 5.0e1 -2.06526e2 -2.06526e2
-2.0e2 5.0e1 -1.58722e2 -1.58722e2
-1.5e2 5.0e1 -1.10916e2 -1.10916e2
-1.0e2 5.0e1 -6.3111e1 -6.3111e1
-5.0e1 5.0e1 -1.53055e1 -1.53055e1
0.0e0 5.0e1 3.25e1 3.25e1
5.0e1 5.0e1 8.03055e1 8.03055e1
1.0e2 5.0e1 1.2811e2 1.2811e2
1.5e2 5.0e1 1.75916e2 1.75916e2
2.0e2 5.0e1 2.23721e2 2.23721e2
2.5e2 5.0e1 2.71527e2 2.71527e2
3.0e2 5.0e1 3.19333e2 3.19333e2
3.5e2 5.0e1 3.67137e2 3.67137e2
4.0e2 5.0e1 4.14943e2 4.14943e2
4.5e2 5.0e1 4.62749e2 4.62749e2
5.0e2 5.0e1 5.10555e2 5.10555e2

-5.0e2 1.0e2 -9.21109e2 -9.21109e2
-4.5e2 1.0e2 -8.25497e2 -8.25497e2
-4.0e2 1.0e2 -7.29887e2 -7.29887e2
-3.5e2 1.0e2 -6.34276e2 -6.34276e2
-3.0e2 1.0e2 -5.38666e2 -5.38666e2
-2.5e2 1.0e2 -4.43054e2 -4.43054e2
-2.0e2 1.0e2 -3.47443e2 -3.47443e2
-1.5e2 1.0e2 -2.51833e2 -2.51833e2
-1.0e2 1.0e2 -1.56221e2 -1.56221e2
-5.0e1 1.0e2 -6.0611e1 -6.0611e1
0.0e0 1.0e2 3.5e1 3.5e1
5.0e1 1.0e2 1.3061e2 1.3061e2
1.0e2 1.0e2 2.2622e2 2.2622e2
1.5e2 1.0e2 3.21832e2 3.21832e2
2.0e2 1.0e2 4.17444e2 4.17444e2
2.5e2 1.0e2 5.13054e2 5.13054e2
3.0e2 1.0e2 6.08665e2 6.08665e2
3.5e2 1.0e2 7.04276e2 7.04276e2
4.0e2 1.0e2 7.99887e2 7.99887e2
