
# Surface 0 of 1 surfaces

# Curve title: "(30*1000+50*y + 8.314*2.30*y*x) / 1000"

# IsoCurve 0, 50 points
# x y z type
9.3377551e+02 -1.7600000e+01 -2.8514282e+02 i
9.5008163e+02 -1.7600000e+01 -2.9063066e+02 i
9.6638776e+02 -1.7600000e+01 -2.9611849e+02 i
9.8269388e+02 -1.7600000e+01 -3.0160633e+02 i
9.9900000e+02 -1.7600000e+01 -3.0709417e+02 i

# IsoCurve 4, 50 points
# x y z type
2.0000000e+02 -1.6800000e+01 -3.5090592e+01 i
2.1630612e+02 -1.6800000e+01 -4.0328982e+01 i
2.3261224e+02 -1.6800000e+01 -4.5567372e+01 i
2.4891837e+02 -1.6800000e+01 -5.0805762e+01 i
2.6522449e+02 -1.6800000e+01 -5.6044152e+01 i
2.8153061e+02 -1.6800000e+01 -6.1282543e+01 i
2.9783673e+02 -1.6800000e+01 -6.6520933e+01 i
3.1414286e+02 -1.6800000e+01 -7.1759323e+01 i
3.3044898e+02 -1.6800000e+01 -7.6997713e+01 i
3.4675510e+02 -1.6800000e+01 -8.2236103e+01 i
3.6306122e+02 -1.6800000e+01 -8.7474493e+01 i
3.7936735e+02 -1.6800000e+01 -9.2712883e+01 i
3.9567347e+02 -1.6800000e+01 -9.7951273e+01 i
4.1197959e+02 -1.6800000e+01 -1.0318966e+02 i
4.2828571e+02 -1.6800000e+01 -1.0842805e+02 i
4.4459184e+02 -1.6800000e+01 -1.1366644e+02 i
4.6089796e+02 -1.6800000e+01 -1.1890483e+02 i
4.7720408e+02 -1.6800000e+01 -1.2414322e+02 i
4.9351020e+02 -1.6800000e+01 -1.2938161e+02 i
5.0981633e+02 -1.6800000e+01 -1.3462000e+02 i
5.2612245e+02 -1.6800000e+01 -1.3985839e+02 i
5.4242857e+02 -1.6800000e+01 -1.4509678e+02 i
5.5873469e+02 -1.6800000e+01 -1.5033517e+02 i
5.7504082e+02 -1.6800000e+01 -1.5557356e+02 i
5.9134694e+02 -1.6800000e+01 -1.6081195e+02 i
6.0765306e+02 -1.6800000e+01 -1.6605034e+02 i
6.2395918e+02 -1.6800000e+01 -1.7128873e+02 i
6.4026531e+02 -1.6800000e+01 -1.7652712e+02 i
6.5657143e+02 -1.6800000e+01 -1.8176551e+02 i
6.7287755e+02 -1.6800000e+01 -1.8700390e+02 i
6.8918367e+02 -1.6800000e+01 -1.9224230e+02 i
7.0548980e+02 -1.6800000e+01 -1.9748069e+02 i
7.2179592e+02 -1.6800000e+01 -2.0271908e+02 i
7.3810204e+02 -1.6800000e+01 -2.0795747e+02 i
7.5440816e+02 -1.6800000e+01 -2.1319586e+02 i
7.7071429e+02 -1.6800000e+01 -2.1843425e+02 i
7.8702041e+02 -1.6800000e+01 -2.2367264e+02 i
8.0332653e+02 -1.6800000e+01 -2.2891103e+02 i
8.1963265e+02 -1.6800000e+01 -2.3414942e+02 i
8.3593878e+02 -1.6800000e+01 -2.3938781e+02 i
8.5224490e+02 -1.6800000e+01 -2.4462620e+02 i
8.6855102e+02 -1.6800000e+01 -2.4986459e+02 i
8.8485714e+02 -1.6800000e+01 -2.5510298e+02 i
9.0116327e+02 -1.6800000e+01 -2.6034137e+02 i
9.1746939e+02 -1.6800000e+01 -2.6557976e+02 i
9.3377551e+02 -1.6800000e+01 -2.7081815e+02 i
9.5008163e+02 -1.6800000e+01 -2.7605654e+02 i
9.6638776e+02 -1.6800000e+01 -2.8129493e+02 i
9.8269388e+02 -1.6800000e+01 -2.8653332e+02 i
9.9900000e+02 -1.6800000e+01 -2.9177171e+02 i

# IsoCurve 5, 50 points
# x y z type
2.0000000e+02 -1.6000000e+01 -3.1991040e+01 i
2.1630612e+02 -1.6000000e+01 -3.6979983e+01 i
2.3261224e+02 -1.6000000e+01 -4.1968926e+01 i
2.4891837e+02 -1.6000000e+01 -4.6957869e+01 i
2.6522449e+02 -1.6000000e+01 -5.1946812e+01 i
2.8153061e+02 -1.6000000e+01 -5.6935755e+01 i
2.9783673e+02 -1.6000000e+01 -6.1924698e+01 i
3.1414286e+02 -1.6000000e+01 -6.6913641e+01 i
3.3044898e+02 -1.6000000e+01 -7.1902584e+01 i
3.4675510e+02 -1.6000000e+01 -7.6891527e+01 i
