
# Surface 0 of 1 surfaces

# Curve title: "(30*1000+50*y + 8.314*2.30*y*x) / 1000"

# IsoCurve 0, 50 points
# x y z type
9.3377551e+02 -8.8000000e+00 -1.2757141e+02 i
9.5008163e+02 -8.8000000e+00 -1.3031533e+02 i
9.6638776e+02 -8.8000000e+00 -1.3305925e+02 i
9.8269388e+02 -8.8000000e+00 -1.3580317e+02 i
9.9900000e+02 -8.8000000e+00 -1.3854708e+02 i

# IsoCurve 4, 50 points
# x y z type
2.0000000e+02 -8.4000000e+00 -2.5452960e+00 i
2.1630612e+02 -8.4000000e+00 -5.1644911e+00 i
2.3261224e+02 -8.4000000e+00 -7.7836861e+00 i
2.4891837e+02 -8.4000000e+00 -1.0402881e+01 i
2.6522449e+02 -8.4000000e+00 -1.3022076e+01 i
2.8153061e+02 -8.4000000e+00 -1.5641271e+01 i
2.9783673e+02 -8.4000000e+00 -1.8260466e+01 i
3.1414286e+02 -8.4000000e+00 -2.0879661e+01 i
3.3044898e+02 -8.4000000e+00 -2.3498856e+01 i
3.4675510e+02 -8.4000000e+00 -2.6118051e+01 i
3.6306122e+02 -8.4000000e+00 -2.8737247e+01 i
3.7936735e+02 -8.4000000e+00 -3.1356442e+01 i
3.9567347e+02 -8.4000000e+00 -3.3975637e+01 i
4.1197959e+02 -8.4000000e+00 -3.6594832e+01 i
4.2828571e+02 -8.4000000e+00 -3.9214027e+01 i
4.4459184e+02 -8.4000000e+00 -4.1833222e+01 i
4.6089796e+02 -8.4000000e+00 -4.4452417e+01 i
4.7720408e+02 -8.4000000e+00 -4.7071612e+01 i
4.9351020e+02 -8.4000000e+00 -4.9690807e+01 i
5.0981633e+02 -8.4000000e+00 -5.2310002e+01 i
5.2612245e+02 -8.4000000e+00 -5.4929197e+01 i
5.4242857e+02 -8.4000000e+00 -5.7548392e+01 i
5.5873469e+02 -8.4000000e+00 -6.0167587e+01 i
5.7504082e+02 -8.4000000e+00 -6.2786782e+01 i
5.9134694e+02 -8.4000000e+00 -6.5405977e+01 i
6.0765306e+02 -8.4000000e+00 -6.8025172e+01 i
6.2395918e+02 -8.4000000e+00 -7.0644367e+01 i
6.4026531e+02 -8.4000000e+00 -7.3263562e+01 i
6.5657143e+02 -8.4000000e+00 -7.5882757e+01 i
6.7287755e+02 -8.4000000e+00 -7.8501952e+01 i
6.8918367e+02 -8.4000000e+00 -8.1121148e+01 i
7.0548980e+02 -8.4000000e+00 -8.3740343e+01 i
7.2179592e+02 -8.4000000e+00 -8.6359538e+01 i
7.3810204e+02 -8.4000000e+00 -8.8978733e+01 i
7.5440816e+02 -8.4000000e+00 -9.1597928e+01 i
7.7071429e+02 -8.4000000e+00 -9.4217123e+01 i
7.8702041e+02 -8.4000000e+00 -9.6836318e+01 i
8.0332653e+02 -8.4000000e+00 -9.9455513e+01 i
8.1963265e+02 -8.4000000e+00 -1.0207471e+02 i
8.3593878e+02 -8.4000000e+00 -1.0469390e+02 i
8.5224490e+02 -8.4000000e+00 -1.0731310e+02 i
8.6855102e+02 -8.4000000e+00 -1.0993229e+02 i
8.8485714e+02 -8.4000000e+00 -1.1255149e+02 i
9.0116327e+02 -8.4000000e+00 -1.1517068e+02 i
9.1746939e+02 -8.4000000e+00 -1.1778988e+02 i
9.3377551e+02 -8.4000000e+00 -1.2040907e+02 i
9.5008163e+02 -8.4000000e+00 -1.2302827e+02 i
9.6638776e+02 -8.4000000e+00 -1.2564746e+02 i
9.8269388e+02 -8.4000000e+00 -1.2826666e+02 i
9.9900000e+02 -8.4000000e+00 -1.3088585e+02 i

# IsoCurve 5, 50 points
# x y z type
2.0000000e+02 -8.0000000e+00 -9.9552000e-01 i
2.1630612e+02 -8.0000000e+00 -3.4899915e+00 i
2.3261224e+02 -8.0000000e+00 -5.9844630e+00 i
2.4891837e+02 -8.0000000e+00 -8.4789344e+00 i
2.6522449e+02 -8.0000000e+00 -1.0973406e+01 i
2.8153061e+02 -8.0000000e+00 -1.3467877e+01 i
2.9783673e+02 -8.0000000e+00 -1.5962349e+01 i
3.1414286e+02 -8.0000000e+00 -1.8456820e+01 i
3.3044898e+02 -8.0000000e+00 -2.0951292e+01 i
3.4675510e+02 -8.0000000e+00 -2.3445763e+01 i
3.6306122e+02 -8.0000000e+00 -2.5940235e+01 i
3.7936735e+02 -8.0000000e+00 -2.8434706e+01 i
3.9567347e+02 -8.0000000e+00 -3.0929178e+01 i
4.1197959e+02 -8.0000000e+00 -3.3423649e+01 i
4.2828571e+02 -8.0000000e+00 -3.5918121e+01 i
4.4459184e+02 -8.0000000e+00 -3.8412592e+01 i
4.6089796e+02 -8.0000000e+00 -4.0907064e+01 i
4.7720408e+02 -8.0000000e+00 -4.3401535e+01 i
4.9351020e+02 -8.0000000e+00 -4.5896007e+01 i
5.0981633e+02 -8.0000000e+00 -4.8390478e+01 i
5.2612245e+02 -8.0000000e+00 -5.0884950e+01 i
5.4242857e+02 -8.0000000e+00 -5.3379421e+01 i
5.5873469e+02 -8.0000000e+00 -5.5873893e+01 i
5.7504082e+02 -8.0000000e+00 -5.8368364e+01 i
